iter	Passed	Remaining
417	1923	1758
418	1930	1755
419	1934	1750
420	1936	1743
421	1938	1736
422	1973	1758
423	1975	1751
424	1976	1744
425	1978	1736
426	1987	1735
427	1991	1731
428	1993	1723
429	1994	1716
430	1996	1709
431	1998	1702
432	1999	1695
433	2001	1688
434	2003	1681
435	2005	1673
436	2006	1666
437	2008	1659
438	2009	1652
439	2011	1645
440	2013	1639
441	2014	1631
442	2016	1624
443	2017	1617
444	2018	1610
445	2020	1604
446	2021	1596
447	2022	1589
448	2024	1582
449	2025	1575
450	2026	1568
451	2030	1563
452	2031	1556
453	2033	1549
454	2039	1546
455	2040	1539
456	2041	1531
457	2042	1525
458	2043	1518
459	2044	1511
460	2045	1504
461	2046	1497
462	2047	1490
463	2052	1486
464	2053	1479
465	2058	1475
466	2061	1469
467	2066	1465
468	2072	1462
469	2075	1457
470	2076	1450
471	2077	1443
472	2080	1438
473	2081	1431
474	2082	1424
475	2084	1419
476	2087	1413
477	2090	1408
478	2092	1402
479	2097	1398
480	2101	1393
481	2105	1389
482	2108	1383
483	2110	1378
484	2115	1373
485	2121	1370
486	2125	1365
487	2128	1361
488	2132	1356
489	2135	1351
490	2144	1349
491	2145	1343
492	2146	1336
493	2147	1330
494	2148	1323
495	2149	1317
496	2150	1311
497	2151	1304
498	2152	1298
499	2153	1292
500	2154	1286
501	2155	1279
502	2157	1273
503	2158	1267
504	2159	1261
505	2160	1255
506	2690	1554
507	2692	1547
508	2698	1542
509	2699	1535
510	2701	1527
511	2706	1522
512	2712	1517
513	2715	1510
514	2717	1504
515	2722	1498
516	2723	1491
517	2735	1489
518	2736	1481
519	2738	1474
520	2739	1467
521	2744	1461
522	2750	1456
523	2751	1449
524	2752	1441
525	2753	1523	526	2755	1427
527	2756	1525	3165	1648
526	3168	1641
527	3172	1634
528	3175	1626
529	3176	1618
530	3186	1614
531	3187	1605
532	3191	1598
533	3194	1591
534	3195	1583
535	3197	1575
536	3200	1567
537	3201	1559
538	3202	1550
539	3204	1542
540	3205	1534
541	3207	1526
542	3212	1520
543	3218	1514
544	3221	1507
545	548	2820	1546	3229	1493
547	3232	1486
548	3236	1479
549	3239	1472
550	3242	1465
551	3248	1459
552	3252	1452
553	3258	1446
554	3259	1438
555	3261	1431
556	3262	1423
557	3265	1416
558	3271	1410
559	3272	1402
560	3278	1396
561	3280	1389
562	3281	1381
563	3283	1373
564	3285	1366
565	3286	1358
566	3288	1351
567	3289	1343
568	3313	1345
569	3317	1338
570	3318	1330
571	3320	1323
572	3321	1315
573	3323	1308
574	3325	1301
575	3339	1298
576	3345	1292
577	3349	1286
578	3369	1286
579	3370	1278
580	3375	1272
581	3377	1265
582	3380	1258
583	3383	1251
584	3384	1243
585	3387	1237
586	3390	1230
587	3393	1223
588	3396	1216
589	3397	1209
590	3398	1201
591	3399	1194
592	3400	1186
593	3400	1179
594	3402	1172
595	3404	1165
596	3406	1158
597	3417	1154
598	3427	1150
599	3432	1144
600	3434	1137
601	3442	1132
602	3444	1125
603	3445	1118
604	3446	1110
605	3448	1104
606	3449	1096
607	3450	1089
608	3451	1082
609	3452	1075
610	3453	1068
611	3454	1061
612	3455	1054
613	3456	1047
614	3457	1039
615	3458	1033
616	3459	1026
617	3460	1019
618	3461	1012
619	3462	1005
620	3463	998
621	3464	991
622	3465	984
623	3466	977
624	3468	971
625	3470	964
626	3471	957
627	3472	951
628	3475	944
629	3477	938
630635	3073	7631636	3076	7632637	3082	782
638	3092	779
639	3096	774
640	3097	768
641	3098	762
642	3102	757
643	3104	752
644	3106	746
645	3109	741
646	3115	736
647	3117	731
648	3119	725
649	3121	720
650	3124	715
651	3129	710
652	3132	705
653	3136	700
654	3137	694
655	3145	690
656	3146	684
657	3148	679
658	3149	673
659	3151	668
660	3152	663
661	3154	657
662	3156	652
663	3157	646
664	3159	641
665	3160	635
666	3162	630
667	3164	625
668	3165	619
669	3167	614
670	3170	609
671	3175	604
672	3176	599
673	3178	594
674	3180	588
675	3182	583
676	3184	578
677	3186	573
678	3187	568
679	3188	562
680	3189	557
681	3190	551
682	3190	546
683	3192	541
684	3193	536
685	3195	531
686	3199	526
687	3203	521
688	3207	516
689	3209	511
690	3212	506
691	3215	501
692	3220	497
693	3222	492
694	3224	487
695	3226	482
696	3227	476
697	3231	472
698	3235	467
699	3239	462
700	3242	457
701	3246	453
702	3247	448
703	3249	443
704	3251	438
705	3254	433
706	3257	428
707	3258	423
708	3260	418
709	3262	413
710	3264	408
711	3264	403
712	3265	398
713	3267	393
714	3270	388
715	3274	384
716	3276	379
717	3279	374
718	3281	369
719	3283	364
720	3285	360
721	3289	355
722	3292	350
723	3295	345
724	3298	341
725	3301	336
726	3303	331
727	3304	326
728	3306	321
729	3307	317
730	3308	312
731	3309	307
732	3310	302
733	3311	297
734	3313	293
735	3314	288
736	3316	283
737	3317	278
738	3318	273
739	3320	269
740	3321	264
741	3322	259
742	3324	255
743	3325	250
744	3326	245
745	3327	240
746	3329	236
747	3331	231
748	3333	226
749	3334	222
750	3334	217
751	3335	212
752	3336	208
753	3337	203
754	3337	198
755	3338	194
756	3339	189
757	3339	185
758	3340	180
759	3341	175
760	3342	171
761	3343	166
762	3344	162
763	3345	157
764	3345	153
765	3346	148
766	3347	144
767	3347	139
768	3348	134
769	3349	130
770	3349	126
771	3350	121
772	3351	117
773	3351	112
774	3352	108
775	3352	103
776	3353	99
777	3354	94
778	3354	90
779	3355	86
780	3356	81
781	3356	77
782	3357	72
783	3358	68
784	3358	64
785	3359	59
786	3360	55
787	3361	51
788	3361	46
789	3362	42
790	3363	38
791	3363	33
792	3364	29
793	3365	25
794	3366	21
795	3366	16
796	3367	12
797	3368	8
798	3369	4
799	3369	0
3735	23
795	3736	18
796	3736	14
797	3737	9
798	3738	4
799	3739	0
4172	10
798	4173	5
799	4174	0
	17
798	7120	8
799	7121	0
0
