iter	RMSE
368	0.7902349079
369	0.7900286705
370	0.78982421
371	0.7895867625
372	0.7894562577
373	0.7891687424
374	0.7889753394
375	0.7887202387
376	0.7884800218
377	0.7882527562
378	0.7880242587
379	0.7878143619
380	0.7875583023
381	0.7872570921
382	0.7870596665
383	0.7868622024
384	0.7866041917
385	0.7863531687
386	0.7861570199
387	0.7859907399
388	0.7857932909
389	0.7855640974
390	0.7853812935
391	0.7851715571
392	0.7849854312
393	0.7847169007
394	0.7845482024
395	0.7843592093
396	0.7841335641
397	0.7838418717
398	0.7835940004
399	0.7833668804
400	0.7831660925
401	0.7829751648
402	0.7827149387
403	0.7824812172
404	0.7822634063
405	0.7820312822
406	0.7817717813
407	0.7815840997
408	0.7813290461
409	0.7811830719
410	0.7809835938
411	0.7807887316
412	0.7805714383
413	0.7803586617
414	0.780100505
415	0.7798610892
416	0.7796419167
417	0.7794711251
418	0.7793233652
419	0.7791622917
420	0.7789586821
421	0.7787284372
422	0.7785229883
423	0.7783371353
424	0.7781333061
425	0.7779577009
426	0.7777649115
427	0.7775401354
428	0.7773738074
429	0.7771799682
430	0.7770247638
431	0.7768487043
432	0.7766586043
433	0.7765052216
434	0.776353486
435	0.776155966
436	0.7760280751
437	0.7757941599
438	0.7756104852
439	0.7753967361
440	0.7751858229
441	0.774966053
442	0.7747197705
443	0.7745051801
444	0.7742937638
445	0.774128023
446	0.7739371874
447	0.7737328999
448	0.7735728809
449	0.773433947
450	0.7732409675
451	0.7730918014
452	0.7729189415
453	0.7727111257
454	0.7725540737
455	0.7723603051
456	0.7722382987
457	0.7720396829
458	0.7718535101
459	0.7716790652
460	0.7715061889
461	0.7713103618
462	0.7711900078
463	0.7709895288
464	0.7708272684
465	0.7706753112
466	0.770498007
467	0.7703253157
468	0.770156715
469	0.7699894675
470	0.7698290699
471	0.7696118083
472	0.7694147721
473	0.7692458926
474	0.7690738262
475	0.768890144
476	0.7687568079
477	0.7685442824
478	0.7683901816
479	0.7682496116
480	0.768087152
481	0.7678854472
482	0.7677351097
483	0.7675608582
484	0.767420873
485	0.7672760687
486	0.7670842283
487	0.7669500618
488	0.7667582208
489	0.766578664
490	0.7663875924
491	0.7662494525
492	0.7660729538
493	0.7658632076
494	0.7656859462
495	0.7655104593
496	0.7653999376
497	0.7652517384
498	0.7651016106
499	0.7649491412
500	0.7647819653
501	0.7646091457
502	0.7644716424
503	0.764505	0.77504	0.764506	0.7707186173
507	0.7705516449
508	0.7703344939
509	0.7701794132
510	0.7700240556
511	0.7698741382
512	0.7697315625
513	0.7695754134
514	0.7694283997
515	0.7692850855
516	0.7691374922
517	0.768971916
518	0.7687957574
519	0.7686661809
520	0520	0.756472521	0521	0.756340522	0.7682961164
523	0523	0.7560656988
524	0.7559709672
525	0.7558585131
526	0.7557119928
527	0.7555865999
528	0.7554393963
529	0.7553067204
530	0.7551484002
531	0.7550145491
532	0.7549300644
533	0.7548191702
534	0.7546860734
535	0.7545258913
536	0.7544240493
537	0.7542690078
538	0.754120891
539	0.7539572026
540	0.7537954439
541	0.7536499891
542	0.7535214473
543	0.7534312147
544	0.7532983441
545	0.753195753
546	0.7530854068
547	0.752937089
548	0.7527943569
549	0.7526587998
550	0.7525514047
551	0.7524305886
552	0.7522630504
553	0.7521322892
554	0.7520306952
555	0.7519154082
556	0.7517860181
557	0.7516089726
558	0.7514821519
559	0.7513615906
560	0.7512044835
561	0.7510896109
562	0.7509244811
563	0.750828132
564	0.7507018337
565	0.7505818067
566	0.7504749321
567	0.7503774375
568	0.7502287812
569	0.7501191275
570	0.7499882153
571	0.7498733337
572	0.7497584178
573	0.7496432258
574	0.7494885971
575	0.7494117137
576	0.7492228301
577	0.7490765427
578	0.7489575254
579	0.7488759733
580	0.7487255982
581	0.7486136179
582	0.7485042046
583	0.7483815324
584	0.7482652974
585	0.7481103902
586	0.7479825614
587	0.7479003541
588	0.7478005872
589	0.7477284464
590	0.7475972198
591	0.7474871227
592	0.7473813735
593	0.7472548107
594	0.7471654734
595	0.747064831
596	0.7469461986
597	0.746838664
598	0.7467140665
599	0.7465739906
600	0.7464277461
601	0.7463123617
602	0.7462017109
603	0.7460987103
604	0.7460195626
605	0.7459041169
606	0.7457879355
607	0.745697801
608	0.7455703753
609	0.7454850728
610	0.7453606502
611	0.7452203587
612	0.7451682735
613	0.7451043309
614	0.7449926179
615	0.7448413986
616	0.7447471604
617	0.7446440113
618	0.7445266791
619	0.7443974969
620	0.7442664813
621	0.7441421425
622	0.7440231832
623	0.7439329895
624	0.7437991297
625	0.7437028765
626	0.7435916126
627	0.7434567902
628	0.7433433513
629	0.7432394656
630	0.7431642387
631	0.743076081
632	0.7429682816
633	0.7428484763
634	0.7427555449
635	0.7426288258
636	0.7424971298
63638	0.7536046718
639	0.7534906619
640	0.7533898647
641	0.7533048102
642	0.7531915247
643	0.7530758278
644	0.7529779257
645	0.7528449771
646	0.7527409672
647	0.752640273
648	0.7525346452
649	0.7524343551
650	0.75234303
651	0.752217531
652	0.7520892154
653	0.7519626638
654	0.751864804
655	0.7517670316
656	0.7516935125
657	0.7515900963
658	0.7514906446
659	0.7513878903
660	0.7512926195
661	0.7511645062
662	0.7510636533
663	0.7509666217
664	0.7508868562
665	0.7508040483
666	0.7506890939
667	0.7505982627
668	0.750514098
669	0.7504154829
670	0.7503116391
671	0.7501935142
672	0.7500864088
673	0.7499638874
674	0.7498710219
675	0.7497795817
676	0.7496651774
677	0.7495636239
678	0.7494836076
679	0.7493932403
680	0.7493016998
681	0.7492046077
682	0.749118982
683	0.7489937497
684	0.748886116
685	0.7488122335
686	0.7487191246
687	0.7486478102
688	0.7485609632
689	0.7484608128
690	0.7483540801
691	0.7482481704
692	0.74814834
693	0.7480559843
694	0.7479774333
695	0.7478764782
696	0.7477770848
697	0.7476774836
698	0.7475904757
699	0.7475158599
700	0.7474411566
701	0.7473504619
702	0.7472499627
703	0.7471475766
704	0.7470548857
705	0.7469442144
706	0.7468427229
707	0.7467388112
708	0.7466351392
709	0.7465351131
710	0.7464545169
711	0.7463809741
712	0.7462796533
713	0.7461997581
714	0.7460781365
715	0.7459710968
716	0.7458767946
717	0.745787716
718	0.7456918619
719	0.7455966058
720	0.7454939769
721	0.7453806234
722	0.7452908739
723	0.7452075603
724	0.7451551759
725	0.7450633919
726	0.7449340801
727	0.7448325038
728	0.7447461098
729	0.7446447474
730	0.7445499083
731	0.7444633539
732	0.744345133
733	0.7442569671
734	0.744170773
735	0.7440940489
736	0.744024478
737	0.7439368426
738	0.7438358659
739	0.7437274955
740	0.7436025792
741	0.7435264636
742	0.7434508108
743	0.7433517569
744	0.7432424937
745	0.7431676092
746	0.7430818663
747	0.7430146431
748	0.7429057599
749	0.7428321509
750	0.7427504414
751	0.7426647138
752	0.742585062
753	0.7425017274
754	0.7424354612
755	0.7423619872
756	0.7423091349
757	0.7422242901
758	0.7421297868
759	0.7420283971
760	0.741966111
761	0.7418877047
762	0.7418341776
763	0.7417510484
764	0.7416789815
765	0.7416099127
766	0.7415447744
767	0.7414700988
768	0.7413910265
769	0.7413435801
770	0.7412561278
771	0.7411750317
772	0.7410801076
773	0.7409761077
774	0.7408743975
775	0.740763381
776	0.7406517762
777	0.7405935282
778	0.740498128
779	0.7404319928
780	0.7403644655
781	0.7402998067
782	0.7401885871
783	0.7401074227
784	0.7400188831
785	0.7399445208
786	0.7398504061
787	0.7397887908
788	0.7397204786
789	0.7396350292
790	0.7395450404
791	0.7394635193
792	0.739381446
793	0.7393248824
794	0.7392290273
795	0.7391306483
796	0.739054674
797	0.7389554118
798	0.7388678111
799	0.7387823045
562
799	0.7302495088
21
